time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-24T21:25:16.732Z,59.2108,-153.7206,119,2,ml,,,,0.46,ak,ak0223tm9awl,2022-03-24T21:28:34.087Z,"58 km SE of Pope-Vannoy Landing, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-03-24T21:15:54.990Z,38.7944984,-122.8121643,3.08,0.56,md,7,116,0.009407,0.02,nc,nc73709951,2022-03-24T21:17:30.558Z,"5km WNW of The Geysers, CA",earthquake,0.54,1.19,0.34,2,automatic,nc,nc
2022-03-24T21:10:15.460Z,18.0388333333333,-66.8615,12.55,2.32,md,4,177,,0.08,pr,pr71341873,2022-03-24T21:21:10.060Z,"1 km WNW of Yauco, Puerto Rico",earthquake,0.88,1.29,0.0068918630578505,2,reviewed,pr,pr
2022-03-24T21:09:12.583Z,57.4031,-155.2844,70.6,1.5,ml,,,,0.26,ak,ak0223tm5v1k,2022-03-24T21:21:06.995Z,"53 km WSW of Karluk, Alaska",earthquake,,1.7,,,automatic,ak,ak
2022-03-24T21:06:37.561Z,14.1655,119.2236,10,4.8,mb,,75,8.784,0.96,us,us7000gwzu,2022-03-24T21:28:02.040Z,"94 km WNW of Cabra, Philippines",earthquake,7.8,1.8,0.055,102,reviewed,us,us
2022-03-24T21:00:51.510Z,17.9503333333333,-67.1185,12.09,2.56,md,5,285,,0.1,pr,pr71341868,2022-03-24T21:31:13.160Z,"7 km ESE of Pole Ojea, Puerto Rico",earthquake,1.02,0.32,0.0402428230665755,2,reviewed,pr,pr
2022-03-24T20:49:08.620Z,33.4598333,-116.584,11.45,0.37,ml,21,103,0.03796,0.11,ci,ci39977135,2022-03-24T21:31:28.691Z,"14km SE of Anza, CA",earthquake,0.2,0.37,0.186,10,reviewed,ci,ci
2022-03-24T20:34:23.932Z,31.5818,-104.5532,5,2.7,ml,,102,0.565,0.31,us,us7000gwzi,2022-03-24T20:53:10.040Z,"65 km NNE of Van Horn, Texas",earthquake,1.6,1.7,0.056,42,reviewed,us,us
2022-03-24T20:33:24.571Z,14.2434,119.407,10,4.6,mb,,69,9.053,0.49,us,us7000gwzk,2022-03-24T21:12:15.040Z,"79 km WNW of Cabra, Philippines",earthquake,8.5,1.9,0.077,53,reviewed,us,us
2022-03-24T20:31:35.090Z,33.3218333,-115.703,4.83,1.58,ml,47,75,0.04817,0.18,ci,ci39977103,2022-03-24T21:26:50.170Z,"4km SE of Bombay Beach, CA",earthquake,0.15,0.39,0.133,21,reviewed,ci,ci
2022-03-24T20:27:42.300Z,38.8364983,-122.807663,1.96,0.36,md,9,79,0.01322,0.01,nc,nc73709936,2022-03-24T21:20:13.317Z,"8km WNW of Cobb, CA",earthquake,0.4,1.28,,1,automatic,nc,nc
2022-03-24T20:27:18.850Z,37.1281662,-121.5298309,6.06,1.03,md,6,144,0.07184,0.02,nc,nc73709931,2022-03-24T21:08:13.253Z,"9km NE of San Martin, CA",earthquake,0.49,1.4,0.21,6,automatic,nc,nc
2022-03-24T20:26:28.473Z,61.9598,-149.5551,40.5,1.5,ml,,,,0.9,ak,ak0223tlo3wf,2022-03-24T20:30:08.450Z,"27 km SE of Susitna North, Alaska",earthquake,,1,,,automatic,ak,ak
2022-03-24T20:09:24.260Z,38.8364983,-122.8069992,1.98,0.36,md,10,61,0.01315,0.01,nc,nc73709926,2022-03-24T20:46:13.098Z,"7km WNW of Cobb, CA",earthquake,0.37,1.13,,1,automatic,nc,nc
2022-03-24T20:05:21.840Z,19.1578330993652,-155.484161376953,33.189998626709,2.01999998,md,27,209,,0.140000001,hv,hv72961087,2022-03-24T20:09:15.250Z,"5 km S of Pāhala, Hawaii",earthquake,1.03,1.17999995,0.119999997,9,automatic,hv,hv
2022-03-24T20:04:57.550Z,38.8276672,-122.8144989,2.14,0.85,md,11,71,0.00549,0.01,nc,nc73709921,2022-03-24T20:34:13.035Z,"8km NW of The Geysers, CA",earthquake,0.32,0.72,,1,automatic,nc,nc
2022-03-24T20:00:57.600Z,32.8248333,-117.0571667,-0.17,1.03,ml,21,108,0.07936,0.24,ci,ci39977087,2022-03-24T20:12:03.244Z,"7km NNW of La Mesa, CA",quarry blast,0.65,31.61,0.093,5,reviewed,ci,ci
2022-03-24T19:51:22.347Z,62.7559,-150.5779,77.5,2.8,ml,,,,0.53,ak,ak0223tl80oc,2022-03-24T20:39:03.040Z,"30 km NNE of Petersville, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-24T19:45:19.827Z,14.633,-93.7011,10,4.5,mb,,174,2.227,0.41,us,us7000gwz6,2022-03-24T20:34:42.040Z,"107 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,7.4,1.9,0.049,127,reviewed,us,us
2022-03-24T19:42:50.560Z,38.8250008,-122.7981644,2.58,1.09,md,27,42,0.00944,0.02,nc,nc73709916,2022-03-24T20:24:12.968Z,"6km NW of The Geysers, CA",earthquake,0.21,0.41,0.09,4,automatic,nc,nc
2022-03-24T19:42:33.400Z,38.8283348,-122.8154984,2.08,0.63,md,22,44,0.006503,0.02,nc,nc73709911,2022-03-24T20:13:14.092Z,"8km NW of The Geysers, CA",earthquake,0.2,0.48,0.05,3,automatic,nc,nc
2022-03-24T19:32:57.834Z,63.2513,-149.6188,70.5,1.6,ml,,,,0.8,ak,ak0223tl40uv,2022-03-24T19:42:06.142Z,"36 km WSW of Cantwell, Alaska",earthquake,,1.5,,,automatic,ak,ak
2022-03-24T19:16:38.940Z,40.5106659,-122.1018295,15.54,1.64,md,7,76,0.03612,0.05,nc,nc73709901,2022-03-24T20:14:10.917Z,"9km SE of Millville, CA",earthquake,0.64,1.01,0.16,6,automatic,nc,nc
2022-03-24T19:04:28.220Z,38.8308334,-122.8058319,1.61,0.85,md,10,119,0.008133,0.02,nc,nc73709896,2022-03-24T19:26:13.620Z,"7km W of Cobb, CA",earthquake,0.38,0.67,,1,automatic,nc,nc
2022-03-24T18:50:51.980Z,38.5245018,-119.5238342,1.18,1.79,md,5,196,0.06142,0.07,nc,nc73709891,2022-03-24T21:28:13.366Z,"4km WNW of Walker, CA",earthquake,1.09,1.86,0.18,4,automatic,nc,nc
